DATE,GDPCTPI,UNRATE,DEXUSUK,FEDFUNDS
1960-01-01,16.527,5.4,.,3.84
1960-04-01,16.586,5.4,.,3.32
1960-07-01,16.658,5.5,.,2.60
1960-10-01,16.731,6.6,.,1.98
1961-01-01,16.751,6.9,.,2.02
1961-04-01,16.784,6.9,.,1.73
1961-07-01,16.819,6.7,.,1.88
1961-10-01,16.858,6.0,.,2.33
1962-01-01,16.942,5.6,.,2.85
1962-04-01,16.989,5.5,.,2.68
1962-07-01,17.029,5.6,.,2.90
1962-10-01,17.07,5.5,.,2.93
1963-01-01,17.154,5.7,.,2.98
1963-04-01,17.169,5.6,.,2.99
1963-07-01,17.188,5.5,.,3.48
1963-10-01,17.3,5.5,.,3.38
1964-01-01,17.365,5.4,.,3.43
1964-04-01,17.416,5.2,.,3.50
1964-07-01,17.502,5.1,.,3.45
1964-10-01,17.577,5.0,.,3.85
1965-01-01,17.653,4.7,.,4.05
1965-04-01,17.736,4.6,.,4.05
1965-07-01,17.816,4.3,.,4.02
1965-10-01,17.934,4.0,.,4.32
1966-01-01,18.043,3.8,.,4.66
1966-04-01,18.206,3.8,.,5.17
1966-07-01,18.366,3.7,.,5.40
1966-10-01,18.516,3.8,.,5.40
1967-01-01,18.593,3.8,.,4.53
1967-04-01,18.705,3.9,.,3.98
1967-07-01,18.873,3.8,.,3.99
1967-10-01,19.082,3.8,.,4.51
1968-01-01,19.29,3.7,.,5.05
1968-04-01,19.506,3.7,.,6.07
1968-07-01,19.693,3.4,.,5.78
1968-10-01,19.967,3.4,.,6.02
1969-01-01,20.167,3.4,.,6.79
1969-04-01,20.433,3.5,.,8.90
1969-07-01,20.724,3.7,.,9.15
1969-10-01,20.983,3.5,.,8.97
1970-01-01,21.272,4.4,.,7.76
1970-04-01,21.579,4.9,.,7.61
1970-07-01,21.756,5.4,.,6.29
1970-10-01,22.041,6.1,.,4.90
1971-01-01,22.375,6.0,2.4168,3.71
1971-04-01,22.674,5.9,2.4196,4.91
1971-07-01,22.903,6.0,2.4847,5.55
1971-10-01,23.092,6.0,2.5520,4.14
1972-01-01,23.463,5.8,2.6163,3.83
1972-04-01,23.606,5.7,2.4410,4.46
1972-07-01,23.82,5.5,2.4195,4.87
1972-10-01,24.09,5.2,2.3480,5.33
1973-01-01,24.396,4.9,2.4755,7.09
1973-04-01,24.8,4.9,2.5810,8.49
1973-07-01,25.273,4.8,2.4135,10.78
1973-10-01,25.711,4.9,2.3225,9.95
1974-01-01,26.232,5.1,2.3930,9.35
1974-04-01,26.815,5.4,2.3905,11.93
1974-07-01,27.641,5.9,2.3325,11.34
1974-10-01,28.479,7.2,2.3470,8.53
1975-01-01,29.124,8.6,2.4060,5.54
1975-04-01,29.546,8.8,2.1935,5.55
1975-07-01,30.068,8.4,2.0430,6.24
1975-10-01,30.57,8.2,2.0235,5.20
1976-01-01,30.905,7.6,1.9159,4.84
1976-04-01,31.213,7.6,1.7850,5.48
1976-07-01,31.611,7.6,1.6600,5.25
1976-10-01,32.148,7.8,1.7010,4.65
1977-01-01,32.668,7.4,1.7200,4.69
1977-04-01,33.184,7.2,1.7197,5.39
1977-07-01,33.641,6.8,1.7476,6.14
1977-10-01,34.203,6.4,1.9170,6.56
1978-01-01,34.763,6.3,1.8620,6.79
1978-04-01,35.457,5.9,1.8610,7.60
1978-07-01,36.083,6.0,1.9750,8.45
1978-10-01,36.796,6.0,2.0415,10.03
1979-01-01,37.483,5.8,2.0625,10.09
1979-04-01,38.388,5.7,2.1810,10.29
1979-07-01,39.19,5.9,2.2030,11.43
1979-10-01,39.905,6.0,2.2185,13.78
1980-01-01,40.777,6.3,2.1600,17.19
1980-04-01,41.745,7.6,2.3555,9.47
1980-07-01,42.676,7.5,2.3870,10.87
1980-10-01,43.807,7.2,2.3890,18.90
1981-01-01,44.968,7.4,2.2325,14.70
1981-04-01,45.813,7.5,1.9300,19.10
1981-07-01,46.703,7.6,1.8030,15.87
1981-10-01,47.475,8.5,1.9150,12.37
1982-01-01,48.155,9.0,1.7810,14.68
1982-04-01,48.795,9.6,1.7355,14.15
1982-07-01,49.472,10.1,1.6945,10.31
1982-10-01,49.973,10.8,1.6180,8.95
1983-01-01,50.372,10.3,1.4825,8.77
1983-04-01,50.746,10.1,1.5330,8.98
1983-07-01,51.285,9.2,1.4977,9.45
1983-10-01,51.669,8.3,1.4515,9.47
1984-01-01,52.178,7.8,1.4375,9.91
1984-04-01,52.647,7.2,1.3575,11.06
1984-07-01,53.122,7.3,1.2340,11.30
1984-10-01,53.494,7.3,1.1580,8.38
1985-01-01,54.041,7.2,1.2360,8.58
1985-04-01,54.361,7.4,1.3095,7.53
1985-07-01,54.722,7.1,1.4085,7.92
1985-10-01,55.006,7.0,1.4450,8.27
1986-01-01,55.278,7.2,1.4735,7.48
1986-04-01,55.472,7.2,1.5320,6.92
1986-07-01,55.735,7.0,1.4468,5.89
1986-10-01,56.066,6.6,1.4825,6.91
1987-01-01,56.391,6.6,1.6070,6.13
1987-04-01,56.774,6.2,1.6128,6.73
1987-07-01,57.212,5.9,1.6248,7.22
1987-10-01,57.641,5.7,1.8860,6.77
1988-01-01,58.087,5.7,1.8865,6.58
1988-04-01,58.667,5.4,1.7085,7.51
1988-07-01,59.385,5.4,1.6910,8.19
1988-10-01,59.932,5.3,1.8085,8.76
1989-01-01,60.508,5.0,1.6852,9.85
1989-04-01,61.163,5.3,1.5490,9.53
1989-07-01,61.617,5.3,1.6145,9.02
1989-10-01,62.037,5.4,1.6145,8.45
1990-01-01,62.713,5.2,1.6480,8.28
1990-04-01,63.415,5.2,1.7450,8.29
1990-07-01,63.963,5.9,1.8735,8.20
1990-10-01,64.452,6.3,1.9285,7.31
1991-01-01,65.078,6.8,1.7485,6.12
1991-04-01,65.547,6.9,1.6180,5.90
1991-07-01,66.05,6.9,1.7520,5.45
1991-10-01,66.434,7.3,1.8660,4.43
1992-01-01,66.7,7.4,1.7363,3.98
1992-04-01,67.098,7.8,1.9035,3.76
1992-07-01,67.419,7.6,1.7790,3.22
1992-10-01,67.894,7.4,1.5130,2.92
1993-01-01,68.298,7.0,1.5090,3.07
1993-04-01,68.701,7.0,1.4930,3.04
1993-07-01,69.046,6.7,1.4960,3.09
1993-10-01,69.452,6.5,1.4775,2.96
1994-01-01,69.807,6.5,1.4880,3.34
1994-04-01,70.14,6.1,1.5483,4.25
1994-07-01,70.514,5.9,1.5770,4.73
1994-10-01,70.907,5.5,1.5665,5.45
1995-01-01,71.311,5.4,1.6190,5.98
1995-04-01,71.661,5.6,1.5905,6.00
1995-07-01,71.982,5.6,1.5795,5.80
1995-10-01,72.322,5.6,1.5535,5.60
1996-01-01,72.655,5.5,1.5262,5.31
1996-04-01,72.952,5.3,1.5529,5.27
1996-07-01,73.306,5.2,1.5653,5.30
1996-10-01,73.616,5.4,1.7123,5.29
1997-01-01,73.946,5.2,1.6448,5.39
1997-04-01,74.314,5.0,1.6650,5.56
1997-07-01,74.535,4.9,1.6117,5.54
1997-10-01,74.802,4.7,1.6427,5.50
1998-01-01,74.878,4.7,1.6765,5.49
1998-04-01,75.072,4.5,1.6695,5.56
1998-07-01,75.363,4.6,1.6995,5.51
1998-10-01,75.565,4.4,1.6628,4.68
1999-01-01,75.769,4.2,1.6140,4.81
1999-04-01,76.112,4.3,1.5765,4.76
1999-07-01,76.404,4.2,1.6457,5.22
1999-10-01,76.806,4.0,1.6150,5.30
2000-01-01,77.318,4.0,1.5922,5.85
2000-04-01,77.783,4.0,1.5130,6.53
2000-07-01,78.27,3.9,1.4787,6.52
2000-10-01,78.694,3.9,1.4955,6.40
2001-01-01,79.233,4.3,1.4190,5.31
2001-04-01,79.761,4.5,1.4077,3.97
2001-07-01,80.003,5.0,1.4691,3.07
2001-10-01,80.261,5.7,1.4543,1.82
2002-01-01,80.475,5.7,1.4250,1.73
2002-04-01,80.794,5.8,1.5245,1.75
2002-07-01,81.155,5.7,1.5700,1.75
2002-10-01,81.627,6.0,1.6095,1.24
2003-01-01,82.068,5.9,1.5790,1.25
2003-04-01,82.349,6.3,1.6529,1.22
2003-07-01,82.822,6.1,1.6620,1.01
2003-10-01,83.302,5.7,1.7842,0.98
2004-01-01,83.899,5.8,1.8400,1.00
2004-04-01,84.58,5.6,1.8126,1.03
2004-07-01,85.116,5.4,1.8090,1.61
2004-10-01,85.772,5.4,1.9160,2.16
2005-01-01,86.43,5.2,1.8888,2.63
2005-04-01,87.062,5.0,1.7930,3.04
2005-07-01,87.884,5.0,1.7696,3.62
2005-10-01,88.584,4.9,1.7188,4.16
2006-01-01,89.204,4.7,1.7393,4.59
2006-04-01,89.993,4.6,1.8491,4.99
2006-07-01,90.652,4.5,1.8716,5.25
2006-10-01,90.997,4.4,1.9586,5.24
2007-01-01,91.908,4.4,1.9685,5.26
2007-04-01,92.491,4.6,2.0063,5.25
2007-07-01,92.882,4.7,2.0389,4.94
2007-10-01,93.332,5.0,1.9843,4.24
2008-01-01,93.735,5.1,1.9855,2.61
2008-04-01,94.075,5.6,1.9906,2.00
2008-07-01,94.804,6.1,1.7804,1.81
2008-10-01,94.975,7.3,1.4619,0.16
2009-01-01,95.001,8.7,1.4300,0.18
2009-04-01,94.87,9.5,1.6452,0.21
2009-07-01,94.928,9.8,1.6004,0.15
2009-10-01,95.277,9.9,1.6167,0.12
2010-01-01,95.518,9.9,1.5186,0.16
2010-04-01,95.963,9.4,1.4947,0.18
2010-07-01,96.312,9.5,1.5731,0.19
2010-10-01,96.864,9.3,1.5392,0.18
2011-01-01,97.339,9.0,1.6048,0.14
2011-04-01,98.042,9.1,1.6067,0.09
2011-07-01,98.561,9.0,1.5624,0.08
2011-10-01,98.687,8.5,1.5537,0.07
2012-01-01,99.277,8.2,1.5985,0.13
2012-04-01,99.69,8.2,1.5686,0.16
2012-07-01,100.304,7.8,1.6132,0.14
2012-10-01,100.73,7.9,1.6262,0.16
2013-01-01,101.124,7.5,1.5193,0.14
2013-04-01,101.428,7.5,1.5210,0.09
2013-07-01,101.973,7.2,1.6179,0.08
2013-10-01,102.55,6.7,1.6574,0.09
2014-01-01,102.965,6.7,1.6675,0.08
2014-04-01,103.552,6.1,1.7105,0.10
2014-07-01,104.029,5.9,1.6220,0.09
2014-10-01,104.104,5.6,1.5578,0.12
2015-01-01,104.092,5.4,1.4850,0.11
2015-04-01,104.683,5.3,1.5727,0.13
2015-07-01,104.939,5.0,1.5116,0.14
2015-10-01,104.932,5.0,1.4746,0.24
2016-01-01,104.873,5.0,1.4381,0.36
2016-04-01,105.576,4.9,1.3242,0.38
2016-07-01,105.894,5.0,1.3015,0.40
2016-10-01,106.47,4.7,1.2337,0.54
2017-01-01,107.022,4.4,1.2537,0.79
2017-04-01,107.363,4.3,1.2995,1.04
2017-07-01,107.948,4.3,1.3402,1.15
2017-10-01,108.639,4.1,1.3529,1.30
2018-01-01,109.365,4.0,1.4027,1.51
2018-04-01,110.176,4.0,1.3197,1.82
2018-07-01,110.68,3.7,1.3053,1.95
2018-10-01,111.155,3.9,1.2763,2.27
2019-01-01,111.56,3.8,1.3032,2.41
2019-04-01,112.184,3.6,1.2704,2.38
2019-07-01,112.558,3.5,1.2305,2.04
2019-10-01,112.91,3.6,1.3269,1.55
2020-01-01,113.427,4.4,1.2454,0.65
2020-04-01,113.053,11.0,1.2369,0.08
2020-07-01,114.032,7.9,1.2921,0.09
2020-10-01,114.744,6.7,1.3662,0.09
2021-01-01,116.199,6.0,1.3795,0.07
2021-04-01,117.974,5.9,1.3806,0.08
2021-07-01,119.763,4.7,1.347,0.08
2021-10-01,121.758,3.9,1.35,0.08
2022-01-01,124.209,3.6,1.3152,0.20
2022-04-01,126.914,3.6,1.2162,1.21
2022-07-01,128.248,3.5,1.1134,2.56
